Customer ID,Age,Gender,Location, Income ,Marital Status,Purchase Frequency (Past 6 Months), Average Order Value ,Preferred Product Categories,Last Purchase Date,Return Rate, Customer Lifetime Value (CLV) , Average Star Rating ,NPS Score
C000019,44,Male, Memphis,"230,000",Single,2,"129,000",Locket,7/21/2023,0%,"1,032,000",5.4,59.88,,,
C000080,30,Male, Detroit,"100,000",Single,1,"82,000",Necklace,9/9/2023,0%,"410,000",6.4,70.25,,,
C000350,31,Female, St Louis,"280,000",Married,5,"112,000",Bracelet,6/21/2023,0%,"2,240,000",3.4,41.15,,,
C000382,29,Female, Jacksonville,"160,000",Married,3,"46,000",Pendant,8/31/2023,9%,"276,000",7.7,80.76,,,
C000418,21,Male, Nashville,"160,000",Single,1,"6,000",Pendant,5/29/2023,0%,"6,000",5.7,65.34,,,
C000499,35,Male, Virginia Beach,"80,000",Married,1,"20,000",Locket,5/12/2023,0%,"100,000",5.5,63.78,,,
C000514,28,Female, Long Beach,"240,000",Married,2,"125,000",Bracelet,5/22/2023,0%,"1,000,000",4.9,56.05,,,
C000535,49,Female, Los Angeles,"200,000",Married,3,"44,000",Locket,4/28/2023,3%,"264,000",5.2,60.49,,,
C000538,44,Male, Austin,"270,000",Married,3,"157,000",Pendant,6/19/2023,0%,"2,355,000",4.4,48.31,,,
C000800,30,Male, Memphis,"90,000",Married,2,"1,126",Ring,7/9/2023,0%,"11,260",5.6,64.77,,,
C000805,33,Female, Norfolk,"290,000",Single,7,"163,000",Pendant,11/14/2023,0%,"4,564,000",3,31.3,,,
C000972,31,Male, Las Vegas,"50,000",Single,1,"19,000",Armlet,6/22/2023,0%,"57,000",5.9,66.65,,,
C001056,34,Female, Portland,"160,000",Married,2,"51,000",Bracelet,5/27/2023,0%,"102,000",5.1,60.55,,,
C001342,19,Male, Mesa,"90,000",Married,2,"3,327",Necklace,11/20/2023,0%,"13,308",6.7,73.68,,,
C001408,34,Female, Riverside,"220,000",Single,5,"102,000",Jewel,4/11/2023,0%,"2,040,000",2.9,37.51,,,
C001467,19,Male, Fort Worth,"220,000",Single,2,"211,000",Necklace,4/29/2023,2%,"2,110,000",4.9,53.47,,,
C001486,36,Female, Miami,"220,000",Married,3,"160,000",Earrings,7/15/2023,0%,"480,000",4.6,55.33,,,
C001532,49,Male, Omaha,"100,000",Single,1,"69,000",Ring,11/4/2023,0%,"138,000",6.9,74.91,,,
C001605,58,Male, Houston,"160,000",Single,1,"5,000",Necklace,11/19/2023,0%,"20,000",7.1,76.95,,,
C001855,42,Male, Nashville,"210,000",Single,4,"125,000",Ring,4/10/2023,0%,"1,000,000",3.3,43.87,,,
C001870,34,Male, Denver,"290,000",Single,2,"3,479",Bracelet,7/26/2023,0%,"13,916",5.7,65.85,,,
